event_year,opd_count,opi_count,ops_count,opt_count,pubo_count,rpr_count,percent_opi,percent_ops,percent_opt,percent_opd
1962,1,0,0,0,0,0,0.0,0.0,0.0,0.0
1964,0,0,0,1,0,0,0.0,0.0,0.0,0.0
1968,0,0,0,1,0,1,0.0,0.0,0.0,0.0
1969,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1970,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1971,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1973,0,0,0,0,1,2,0.0,0.0,0.0,0.0
1974,0,0,0,0,1,3,0.0,0.0,0.0,0.0
1975,1,0,0,0,0,2,0.0,0.0,0.0,0.0
1976,3,2,0,0,5,6,40.0,0.0,0.0,60.000004
1977,66,10,8,1,0,1,0.0,0.0,0.0,0.0
1978,44,15,2,0,1,2,1500.0,200.0,0.0,4400.0
1979,15,31,1,0,4,6,775.0,25.0,0.0,375.0
1980,8,28,1,0,685,1120,4.087591,0.1459854,0.0,1.1678832
1981,10,55,22,1,10306,8236,0.5336697,0.2134679,0.009703086,0.097030856
1982,11,83,8,10,9684,8269,0.85708386,0.08261049,0.10326312,0.11358942
1983,73,252,42,69,14583,16042,1.7280394,0.2880066,0.47315368,0.5005829
1984,167,324,117,276,13280,10583,2.439759,0.88102406,2.078313,1.2575301
1985,188,595,152,357,13865,13863,4.2913814,1.0962856,2.5748286,1.3559322
1986,261,406,95,452,11892,10584,3.4140599,0.7988564,3.8008745,2.1947527
1987,276,449,110,328,11874,11394,3.781371,0.9263938,2.762338,2.3244061
1988,299,515,102,581,13696,12381,3.760222,0.744743,4.2421145,2.1831193
1989,311,458,165,524,15411,14312,2.9719033,1.0706638,3.4001687,2.0180392
1990,286,515,161,435,16417,14439,3.136992,0.9806908,2.6496925,1.7420967
1991,233,477,171,519,15052,10821,3.169014,1.1360617,3.4480467,1.5479671
1992,247,711,197,532,29842,20346,2.382548,0.66014344,1.7827224,0.82769257
1993,376,822,292,655,22300,18609,3.6860988,1.309417,2.9372196,1.6860986
1994,410,609,287,702,19986,15010,3.047133,1.4360051,3.5124588,2.051436
1995,385,975,268,765,33298,20739,2.928104,0.80485314,2.2974353,1.1562256
1996,536,1147,414,978,34824,24413,3.2937055,1.1888353,2.808408,1.5391684
1997,546,1313,462,1006,45006,30742,2.917389,1.0265298,2.2352574,1.2131716
1998,590,1121,419,1011,43024,29355,2.6055224,0.97387505,2.3498514,1.3713276
1999,595,1279,444,1060,51765,29777,2.4707816,0.8577224,2.0477157,1.1494253
2000,771,1849,587,1400,68413,42827,2.7027028,0.85802406,2.0463948,1.1269789
2001,820,1396,712,1579,75341,43155,1.8529087,0.9450366,2.0958045,1.0883849
2002,734,1804,769,1884,90182,60484,2.000399,0.8527201,2.0891087,0.81390965
2003,883,1704,863,2529,57898,52461,2.943107,1.4905523,4.3680267,1.5250958
2004,879,1430,604,3347,52788,44355,2.7089489,1.1441995,6.340456,1.6651511
2005,958,1523,631,1680,74496,45963,2.044405,0.84702533,2.2551546,1.2859751
2006,1017,2266,768,1483,85355,60912,2.6547947,0.8997715,1.7374495,1.1914943
2007,1164,2433,910,1024,106777,71513,2.2785804,0.8522434,0.959008,1.0901223
2008,1523,2558,1074,2342,114499,84082,2.2340806,0.9379994,2.0454326,1.3301426
2009,1384,1974,979,2336,94872,78047,2.080698,1.0319167,2.462265,1.4588077
2010,1199,1784,797,1995,93024,72896,1.9177847,0.85676813,2.144608,1.2889147
2011,1204,1963,747,1955,101841,79200,1.9275143,0.73349637,1.919659,1.182235
2012,1277,2163,786,2044,110525,84090,1.9570234,0.7111513,1.8493553,1.1553947
2013,1233,2192,802,2019,114212,87327,1.9192379,0.7022029,1.7677652,1.0795714
2014,1413,2212,914,2307,116650,90175,1.8962709,0.7835405,1.9777112,1.2113159
2015,1417,2074,892,2296,120746,94112,1.7176552,0.7387408,1.9015123,1.1735379
2016,1392,2444,949,2329,134769,99904,1.8134733,0.7041679,1.7281423,1.0328784
2017,187,352,150,342,19460,15280,1.8088387,0.7708119,1.7574512,0.96094555
