event_cd,event_type,event_desc,event_ct
1.AA,I,SEC. 1(A) CLAIM ADDED,678
1.AD,I,SEC. 1(A) CLAIM DELETED,5371
1.BA,I,Sec. 1(B) CLAIM ADDED,6275
1.BD,I,Sec. 1(B) CLAIM DELETED,50061
12AB,O,REQUEST FOR REPUB UNDER SECT 12(C) ABANDONED,1
12AF,I,SECTION 12(C) AFFIDAVIT FILED,369
15AB,O,AFFIDAVIT UNDER SECT 15 ABANDONED,282
15AF,I,REGISTERED - SEC. 15 AFFIDAVIT FILED,9682
15AK,O,REGISTERED - SEC. 15 ACKNOWLEDGED,17984
15IA,O,INITIAL REVIEW ACTION MAILED - SECTION 15,25
44DA,I,SEC. 44(D) CLAIM ADDED,273
44DD,I,SEC. 44(D) CLAIM DELETED,5168
44EA,I,SEC. 44(E) CLAIM ADDED,2428
44ED,I,SEC. 44(E) CLAIM DELETED,925
44ED,O,44(e) PETITION - DENIED,11
44EG,O,44(e) PETITION - GRANTED,1691
44EM,',44(e) PETITION - DISMISSED,2
44EM,I,44(e) PETITION - DISMISSED,85
44EP,I,44(e) PETITION - RECEIVED,447
7.PR,O,REGISTERED - PARTIAL SEC. 7 ACCEPTED,2
71.P,O,REGISTERED - PARTIAL SEC 71 ACCEPTED,1872
715F,I,REGISTERED - SEC. 71 & SEC. 15 FILED,6542
71AF,I,REGISTERED-SEC.71 FILED,2587
71AG,O,REGISTERED-SEC.71 ACCEPTED,10140
8.AF,I,REGISTERED - SEC. 8 (6-YR) FILED,109180
8.OK,O,REGISTERED - SEC. 8 (6-YR) ACCEPTED,208484
8.PR,O,REGISTERED - PARTIAL SEC. 8 (6-YR) ACCEPTED,4581
806I,O,INITIAL REVIEW ACTION MAILED - SECT 8 (6 YR),379
810I,O,INITIAL REVIEW ACTION MAILED - SECT 8 (10 YR),4
815F,I,REGISTERED - SEC. 8 (6-YR) & SEC. 15 FILED,694324
815I,O,INITIAL REVIEW ACTION MAILED - SECT 8 AND 15,578
89AF,I,REGISTERED - COMBINED SECTION 8 (10-YR) & SEC. 9 FILED,364182
89AG,O,REGISTERED - SEC. 8 (10-YR) ACCEPTED/SEC. 9 GRANTED,748078
89IA,O,INITIAL REVIEW ACTION MAILED - SECT 8 & 9,405
